MLN1	1200	4.089	4.1016	0.0126	MG	\N	MLN1	1201	4.0893	4.1015	0.0122	I	2016	001	P	I	C	T	41371	1	G	H	H	A	16	N	16	N	T	8129	C	33.5	R	M	\N	7250.6	7365.8	7253.4	7365	7250.6	7365.8	7308.2	7253.4	7253.4	7365	7309.2	7253.4	50137.2	50252.4	50138	50249.6	50194.8	50249.6	50193.8	50249.6	\N
MLN1	1200	4.1205	4.1241	0.0036	FX	\N	MLN1	2300	4.1204	4.1241	0.0037	V	2012	JPV	P	S	C	T	38850	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	C	1.9	X	A	\N	7538.6	7571.4	7537.6	7571.4	7538.6	7571.4	7555	7537.6	7537.6	7571.4	7554.4	7537.6	49931.6	49964.4	49931.6	49965.4	49948	49965.4	49948.6	49965.4	\N
MLN1	1200	4.1241	4.129	0.0049	TD	\N	MLN1	1300	4.1241	4.1288	0.0047	V	2012	JPV	P	S	C	T	38851	1	D	A	A	C	12	N	12	N	F	8145	C	1.1	L	A	\N	7571.4	7616.2	7571.4	7614.4	7571.4	7616.2	7593.8	7571.4	7571.4	7614.4	7592.8	7571.4	49886.8	49931.6	49888.6	49931.6	49909.2	49931.6	49910.2	49931.6	\N
MLN1	1200	4.157	4.1618	0.0048	TD	\N	MLN1	2301	4.1577	4.1615	0.0038	V	2013	001E	P	I	C	F	39943	1	D	A	A	A	13	N	13	N	F	8132	C	9	L	A	\N	7872.2	7916	7878.6	7913.4	7872.2	7916	7894.2	7878.6	7878.6	7913.4	7896	7878.6	49587	49630.8	49589.6	49624.4	49608.8	49624.4	49607	49624.4	\N
MLN1	1200	4.1678	4.1732	0.0054	ME	\N	MLN1	3731	4.1682	4.1729	0.0047	V	2013	001E	P	I	C	F	39941	1	E	A	A	A	13	N	13	N	T	8131A	C	17	L	A	\N	7970.8	8020.2	7974.6	8017.6	7970.8	8020.2	7995.6	7974.6	7974.6	8017.6	7996.2	7974.6	49482.8	49532.2	49485.4	49528.4	49507.4	49528.4	49506.8	49528.4	\N
MLN1	1200	4.1742	5.0085	0.0103	MG	\N	MLN1	3734	4.1744	5.0075	0.0091	I	2015	001	P	I	C	T	39939	1	G	M	M	N	15	N	15	N	F	8134B	C	33.5	L	M	\N	8029.4	8124.2	8031.2	8115	8029.4	8124.2	8076.8	8031.2	8031.2	8115	8073.2	8031.2	49378.8	49473.6	49388	49471.8	49426.2	49471.8	49429.8	49471.8	\N
MLN1	1200	5.0085	5.0169	0.0084	MF	\N	MLN1	1301	5.0085	5.0166	0.0081	I	2015	001	P	I	C	T	41226	1	F	H	H	N	15	N	15	N	F	8133	C	21.5	L	M	\N	8124.2	8201	8124.2	8198.2	8124.2	8201	8162.6	8124.2	8124.2	8198.2	8161.2	8124.2	49302	49378.8	49304.8	49378.8	49340.4	49378.8	49341.8	49378.8	\N
MLN1	1200	5.0223	5.0376	0.0153	MH	\N	MLN1	1201	5.0223	5.0373	0.015	I	2016	001E	P	I	N	T	41370	1	H	H	H	N	16	N	16	N	F	8141	C	31.25	L	M	\N	8250.4	8390.2	8250.4	8387.4	8250.4	8390.2	8320.4	8250.4	8250.4	8387.4	8319	8250.4	49112.8	49252.6	49115.6	49252.6	49182.6	49252.6	49184	49252.6	\N
MLN1	1200	6.1147	6.1191	0.0044	TC	\N	WEL1	1100	6.1149	6.1191	0.0042	V	1994	WPAN	P	S	C	T	7102	1	0	U	U	U	94	0	08	S	T	8150	C	13	0	A	\N	10704.2	10744.4	10706	10744.4	10704.2	10744.4	10724.4	10706	10706	10744.4	10725.2	10706	46758.6	46798.8	46758.6	46797	46778.6	46797	46777.8	46797	\N
MLN1	1200	6.1197	6.1242	0.0045	TC	\N	MLN1	3701	6.1207	6.124	0.0033	V	1994	C	P	S	C	T	17467	1	0	0	0	0	94	0	94	0	T	8151A	0	13	R	0	\N	10749.8	10791	10759	10789.2	10749.8	10791	10770.4	10759	10759	10789.2	10774	10759	46712	46753.2	46713.8	46744	46732.6	46744	46729	46744	\N
