file_timestamp_utc,file_name,file_uid,extended_items_metadata,timestamp_recorded_utc,extended_items_time,ugms_unit_id,ugms_unit_uid,gps_fix_quality,gps_latitude_deg,gps_longitude_deg,speed_as_recorded,speed_as_recorded_unit,elapsed_distance_as_recorded_m,extended_items_geography,left_top_35m_mm,right_top_35m_mm,crosslevel_mm,twist_3m_mm,left_top_35m_SD_mm,right_top_35m_SD_mm,mean_top_70m_SD_mm,twist_3m_SD_mm,left_dip_joint_mrad,right_dip_joint_mrad,pseudo_align_35m_mm,pseudo_align_70m_mm,pseudo_align_35m_SD_mm,pseudo_align_70m_SD_mm,mean_top_70m_mm,extended_items_geometry,accel_z_wb_ms_2,accel_x_wc_ms_2,accel_x_wd_ms_2,accel_y_wd_ms_2,accel_y_wp_ms_2,data_row_uid,creating_adapter_version
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:03.000000Z,"{""timestamp_ticks"": ""636827124030000000"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516532,-0.176547,2.288,mph,2.0,{},0.66203,0.455829,18.1789,-1.26976,0.786407,0.776055,,1.38148,0.0,0.0,0.622002,11.0462,5.96866,,0.646277,"{""curvature_mm"": ""-73.484""}",-0.0276518,-0.0264983,-0.00816198,-0.0045573,-0.0045573,297281c9-05ec-4861-b47c-fee7c5584467,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:03.195576Z,"{""timestamp_ticks"": ""636827124031955732"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516532,-0.176547,2.288,mph,2.2,{},0.606128,0.332184,18.1799,-1.13872,0.786399,0.775937,,1.38124,0.0,0.0,0.644862,11.181,5.98119,,0.577052,"{""curvature_mm"": ""-73.4512""}",0.0140325,-0.00638175,-0.00487383,-0.00892123,-0.00892123,5a42124b-5589-4c15-a2bd-c82b6bf206c1,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:03.391144Z,"{""timestamp_ticks"": ""636827124033911465"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516532,-0.176547,2.288,mph,2.4,{},0.52657,0.163112,18.2134,-0.966086,0.786374,0.775782,,1.38102,0.0,0.0,0.678613,11.3262,5.994,,0.468924,"{""curvature_mm"": ""-73.418""}",0.0536056,-0.00740915,-0.00569201,-0.00791821,-0.00791821,28d98c65-9684-4ff5-b06e-d1240e64d645,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:03.586720Z,"{""timestamp_ticks"": ""636827124035867198"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516532,-0.176547,2.288,mph,2.6,{},0.435452,0.00982232,18.2304,-0.839013,0.786328,0.775638,,1.38082,0.0,0.0,0.71584,11.4747,6.00709,,0.357653,"{""curvature_mm"": ""-73.3845""}",0.00544499,-0.0280783,-0.0121376,-0.00413468,-0.00413468,dc4ebbe9-22ba-430a-ade7-ddd38298649d,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:03.782296Z,"{""timestamp_ticks"": ""636827124037822931"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516532,-0.176547,2.288,mph,2.8,{},0.355774,-0.0957915,18.2194,-0.785449,0.78627,0.775529,,1.38064,0.0,0.0,0.748989,11.6191,6.02047,,0.271298,"{""curvature_mm"": ""-73.3508""}",-0.0408756,-0.0343617,-0.0164644,0.000785922,0.000785922,8d44ed5f-2ca0-41f7-ad0f-a7a0ff3ad61e,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:03.977864Z,"{""timestamp_ticks"": ""636827124039778664"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516532,-0.176547,2.288,mph,3.0,{},0.28635,-0.180397,18.2039,-0.736486,0.786201,0.775457,,1.38047,0.0,0.0,0.770086,11.7509,6.03411,,0.196887,"{""curvature_mm"": ""-73.3168""}",-0.017113,-0.00579135,-0.0112133,0.0074763,0.0074763,33be79a2-5657-40a6-89a3-a8c8e73ca5e4,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:04.173440Z,"{""timestamp_ticks"": ""636827124041734397"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516532,-0.176547,2.288,mph,3.2,{},0.20354,-0.248365,18.1628,-0.696248,0.78612,0.775421,,1.38031,0.0,0.0,0.771868,11.8623,6.04796,,0.120734,"{""curvature_mm"": ""-73.2825""}",0.0119894,0.0202689,-0.00364162,0.0148951,0.0148951,34f07ebe-fc38-4cce-a66c-084b9c6845a9,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:04.000000Z,"{""timestamp_ticks"": ""636827124040000000"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516541,-0.176562,3.05,mph,3.4,{},0.0833284,-0.280176,18.0476,-0.750141,0.786039,0.775425,,1.38013,0.0,0.0,0.750364,11.9481,6.06196,,0.0405279,"{""curvature_mm"": ""-73.2477""}",-0.0252573,0.0140543,-0.00255721,0.0204923,0.0204923,a59c36ff-ef0f-4d5d-834f-c3985b1043b2,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:04.146680Z,"{""timestamp_ticks"": ""636827124041466799"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516541,-0.176562,3.05,mph,3.6,{},-0.0669607,-0.27339,17.8563,-0.874851,0.785984,0.775461,,1.37997,0.0,0.0,0.709118,12.011,6.07608,,-0.0388482,"{""curvature_mm"": ""-73.2127""}",-0.0664743,-0.00510955,-0.00578531,0.0248111,0.0248111,8cbd684b-6fa5-4b51-ba64-69644ece96bb,Vivacity-UGMS-Sample-v0.0.1
2019-01-10T164012Z,Geometry_SWT-E-SAMPLE_2019.01.10.164012.csv,e7fd7638-6f7f-4729-bea5-a4e21d68aeb3,"{""flags"": ""0000011111111110000"", ""reserved"": ""0""}",2019-01-10T10:20:04.293360Z,"{""timestamp_ticks"": ""636827124042933599"", ""master_sync_state"": ""FALSE"", ""master_sync_inc"": ""7135416""}",XRL-E-C345-015,e4c27259-ed1c-4e6e-be7c-2b06966b0689,2,51.516541,-0.176562,3.05,mph,3.8,{},-0.206393,-0.226168,17.6228,-0.999832,0.785989,0.775491,,1.37984,0.0,0.0,0.656587,12.0586,6.09027,,-0.0953842,"{""curvature_mm"": ""-73.1775""}",-0.0447537,0.00120305,-0.00358535,0.0260554,0.0260554,c8a62f09-bbbd-47ad-99cb-72167b76fc82,Vivacity-UGMS-Sample-v0.0.1
